time siteid day_of_year day_of_year(fraction) aod_1640nm aod_1020nm aod_870nm aod_865nm aod_779nm aod_675nm aod_667nm aod_620nm aod_560nm aod_551nm aod_532nm aod_510nm aod_500nm aod_490nm aod_443nm aod_440nm aod_412nm aod_400nm aod_380nm aod_340nm precipitable_water(cm) triplet_variability_1640 triplet_variability_1020 triplet_variability_870 triplet_variability_865 triplet_variability_779 triplet_variability_675 triplet_variability_667 triplet_variability_620 triplet_variability_560 triplet_variability_551 triplet_variability_532 triplet_variability_510 triplet_variability_500 triplet_variability_490 triplet_variability_443 triplet_variability_440 triplet_variability_412 triplet_variability_400 triplet_variability_380 triplet_variability_340 triplet_variability_precipitable_water(cm) 440-870_angstrom_exponent 380-500_angstrom_exponent 440-675_angstrom_exponent 500-870_angstrom_exponent 340-440_angstrom_exponent 440-675_angstrom_exponent[polar] data_quality_level aeronet_instrument_number aeronet_site_name latitude longitude elevation solar_zenith_angle(degrees) optical_air_mass sensor_temperature(degrees_c) ozone(dobson) no2(dobson) last_date_processed number_of_wavelengths exact_wavelengths_of_aod(um)_1640nm exact_wavelengths_of_aod(um)_1020nm exact_wavelengths_of_aod(um)_870nm exact_wavelengths_of_aod(um)_865nm exact_wavelengths_of_aod(um)_779nm exact_wavelengths_of_aod(um)_675nm exact_wavelengths_of_aod(um)_667nm exact_wavelengths_of_aod(um)_620nm exact_wavelengths_of_aod(um)_560nm exact_wavelengths_of_aod(um)_551nm exact_wavelengths_of_aod(um)_532nm exact_wavelengths_of_aod(um)_510nm exact_wavelengths_of_aod(um)_500nm exact_wavelengths_of_aod(um)_490nm exact_wavelengths_of_aod(um)_443nm exact_wavelengths_of_aod(um)_440nm exact_wavelengths_of_aod(um)_412nm exact_wavelengths_of_aod(um)_400nm exact_wavelengths_of_aod(um)_380nm exact_wavelengths_of_aod(um)_340nm exact_wavelengths_of_pw(um)_935nm aod_int_440nm aod_int_470nm aod_int_550nm aod_int_670nm aod_int_870nm aod_int_1240nm aod_int_1640nm
"2021-07-30 07:33:31" Barcelona 211 211.314942 0.094921 0.13961700000000002 0.168019 NaN NaN 0.228052 NaN NaN NaN NaN NaN NaN 0.336444 NaN NaN 0.38902 NaN NaN 0.45256599999999997 0.48779399999999995 3.6347050000000003 0.005111 0.009428 0.014376 NaN NaN 0.021641 NaN NaN NaN NaN NaN NaN 0.027744 NaN NaN 0.031817000000000005 NaN NaN 0.032869 0.031231000000000002 0.09058 1.2412590000000001 1.0771879999999998 1.257149 1.252249 0.887035 NaN lev15 1269 Barcelona 41.38925 2.11206 125.0 60.16488100000001 2.004214 28.5 315.960498 0.264024 30:07:2021 9 1.6383 1.0197 0.8698 NaN NaN 0.6743 NaN NaN NaN NaN NaN NaN 0.4993 NaN NaN 0.4397 NaN NaN 0.3793 0.3399 0.9363 0.38902 0.36148632203709674 0.29906544242625727 0.2302535836109008 0.168019 0.11396193193051195 0.094921
"2021-07-30 08:32:42" Barcelona 211 211.356042 0.090272 0.131737 0.159472 NaN NaN 0.22153 NaN NaN NaN NaN NaN NaN 0.33492 NaN NaN 0.394291 NaN NaN 0.458192 0.494093 3.598243 0.0018 0.003989 0.005878 NaN NaN 0.010513 NaN NaN NaN NaN NaN NaN 0.011557 NaN NaN 0.010144 NaN NaN 0.024347999999999998 0.021317 0.030184 1.3343479999999999 1.1367969999999998 1.353265 1.337996 0.884323 NaN lev15 1269 Barcelona 41.38925 2.11206 125.0 49.163007 1.527088 31.0 315.949708 0.264019 30:07:2021 9 1.6383 1.0197 0.8698 NaN NaN 0.6743 NaN NaN NaN NaN NaN NaN 0.4993 NaN NaN 0.4397 NaN NaN 0.3793 0.3399 0.9363 0.394291 0.3634368917724516 0.29472091503788034 0.22381757327015717 0.159472 0.10718589888764142 0.090272
"2021-07-30 08:48:57" Barcelona 211 211.367326 0.090369 0.134979 0.162942 NaN NaN 0.22376500000000002 NaN NaN NaN NaN NaN NaN 0.334045 NaN NaN 0.392435 NaN NaN 0.457909 0.492011 3.52851 0.00033 0.001146 0.005574 NaN NaN 0.008739 NaN NaN NaN NaN NaN NaN 0.004759 NaN NaN 0.004614 NaN NaN 0.010715 0.011149 0.025546 1.294786 1.144622 1.3173780000000002 1.294543 0.887702 NaN lev15 1269 Barcelona 41.38925 2.11206 125.0 46.202899 1.443106 32.5 315.946745 0.264017 30:07:2021 9 1.6383 1.0197 0.8698 NaN NaN 0.6743 NaN NaN NaN NaN NaN NaN 0.4993 NaN NaN 0.4397 NaN NaN 0.3793 0.3399 0.9363 0.392435 0.3619413537546118 0.29481143990473874 0.22599624456444858 0.162942 0.10958142254881306 0.090369
"2021-07-30 08:51:00" Barcelona 211 211.36875 0.08820399999999999 0.12989 0.156553 NaN NaN 0.215457 NaN NaN NaN NaN NaN NaN 0.326502 NaN NaN 0.383774 NaN NaN 0.44730600000000004 0.48463900000000004 3.5357489999999996 0.001411 0.0039310000000000005 0.005035 NaN NaN 0.0068189999999999995 NaN NaN NaN NaN NaN NaN 0.006519 NaN NaN 0.006808 NaN NaN 0.011521 0.013061000000000001 0.016406 1.324359 1.1423370000000002 1.356123 1.326021 0.913746 NaN lev15 1269 Barcelona 41.38925 2.11206 125.0 45.832589 1.433506 32.3 315.946371 0.264017 30:07:2021 9 1.6383 1.0197 0.8698 NaN NaN 0.6743 NaN NaN NaN NaN NaN NaN 0.4993 NaN NaN 0.4397 NaN NaN 0.3793 0.3399 0.9363 0.383774 0.35394518259824115 0.28726388799634717 0.2176698829661838 0.156553 0.1058685837353316 0.08820399999999999
"2021-07-30 03:04:17" Dalanzadgad 211 211.127975 0.019961000000000003 0.035779000000000005 0.040407 NaN NaN 0.051489 NaN NaN NaN NaN NaN NaN 0.08499 NaN NaN 0.10340799999999999 NaN NaN 0.123715 0.147868 1.444663 0.0075 0.007888 0.009198999999999999 NaN NaN 0.007595 NaN NaN NaN NaN NaN NaN 0.0050799999999999994 NaN NaN 0.005189 NaN NaN 0.004497 0.005306 0.016644 1.412663 1.353825 1.637293 1.357866 1.393419 NaN lev15 885 Dalanzadgad 43.577222 104.419167 1470.0 36.223752000000005 1.238634 25.4 303.677626 0.175608 30:07:2021 9 1.6414 1.0194 0.8695 NaN NaN 0.6748 NaN NaN NaN NaN NaN NaN 0.5009 NaN NaN 0.4397 NaN NaN 0.3798 0.3408 0.9379 0.10340799999999999 0.09378526655367192 0.07257983525695302 0.05205450099413422 0.040407 0.02963647579863805 0.019961000000000003
"2021-07-30 03:09:17" Dalanzadgad 211 211.131447 0.017622 0.032701 0.037097000000000005 NaN NaN 0.04772 NaN NaN NaN NaN NaN NaN 0.079465 NaN NaN 0.096772 NaN NaN 0.117896 0.142204 1.43756 0.0020829999999999998 0.0023120000000000003 0.0027559999999999998 NaN NaN 0.002376 NaN NaN NaN NaN NaN NaN 0.001737 NaN NaN 0.002037 NaN NaN 0.000341 0.000484 0.003325 1.4415209999999998 1.4237600000000001 1.6610900000000002 1.390851 1.5013940000000001 NaN lev15 885 Dalanzadgad 43.577222 104.419167 1470.0 35.480604 1.227107 25.6 303.67652000000004 0.17560699999999999 30:07:2021 9 1.6414 1.0194 0.8695 NaN NaN 0.6748 NaN NaN NaN NaN NaN NaN 0.5009 NaN NaN 0.4397 NaN NaN 0.3798 0.3408 0.9379 0.096772 0.08764135109657421 0.06774615648854275 0.04825784294206869 0.037097000000000005 0.02685399546099003 0.017622
"2021-07-30 03:24:17" Dalanzadgad 211 211.141863 0.015593000000000001 0.030905000000000002 0.035317 NaN NaN 0.046852 NaN NaN NaN NaN NaN NaN 0.079825 NaN NaN 0.09740900000000001 NaN NaN 0.118153 0.14212 1.4084430000000001 0.002123 0.002486 0.001939 NaN NaN 0.001797 NaN NaN NaN NaN NaN NaN 0.003015 NaN NaN 0.002874 NaN NaN 0.001848 0.0027199999999999998 0.018328999999999998 1.524525 1.414902 1.722519 1.48758 1.4731969999999999 NaN lev15 885 Dalanzadgad 43.577222 104.419167 1470.0 33.343681 1.196218 25.9 303.673201 0.175604 30:07:2021 9 1.6414 1.0194 0.8695 NaN NaN 0.6748 NaN NaN NaN NaN NaN NaN 0.5009 NaN NaN 0.4397 NaN NaN 0.3798 0.3408 0.9379 0.09740900000000001 0.08822746750347628 0.0677704978514134 0.047418599754002505 0.035317 0.02499576633140539 0.015593
"2021-07-30 03:29:17" Dalanzadgad 211 211.145336 0.016045 0.030983999999999998 0.035695 NaN NaN 0.046734 NaN NaN NaN NaN NaN NaN 0.078513 NaN NaN 0.096001 NaN NaN 0.11634000000000001 0.14005 1.405642 0.002731 0.002215 0.001754 NaN NaN 0.001336 NaN NaN NaN NaN NaN NaN 0.0022010000000000003 NaN NaN 0.0014609999999999998 NaN NaN 0.003011 0.003461 0.015268 1.4847920000000001 1.418679 1.691096 1.438325 1.472464 NaN lev15 885 Dalanzadgad 43.577222 104.419167 1470.0 32.665946999999996 1.1870829999999999 26.0 303.672095 0.175603 30:07:2021 9 1.6414 1.0194 0.8695 NaN NaN 0.6748 NaN NaN NaN NaN NaN NaN 0.5009 NaN NaN 0.4397 NaN NaN 0.3798 0.3408 0.9379 0.096001 0.0869188756124571 0.0667598913956003 0.047278367384957345 0.035695 0.02499860704455884 0.016045
"2021-07-30 03:34:17" Dalanzadgad 211 211.148808 0.017124 0.032827999999999996 0.037486 NaN NaN 0.049385000000000005 NaN NaN NaN NaN NaN NaN 0.083314 NaN NaN 0.10144500000000001 NaN NaN 0.12343399999999999 0.147845 1.443762 0.00126 0.001977 0.0024129999999999998 NaN NaN 0.0020039999999999997 NaN NaN NaN NaN NaN NaN 0.002457 NaN NaN 0.002746 NaN NaN 0.004325 0.004289 0.021806 1.495673 1.418684 1.693513 1.457006 1.470346 NaN lev15 885 Dalanzadgad 43.577222 104.419167 1470.0 32.007529 1.178498 26.1 303.67098799999997 0.175602 30:07:2021 9 1.6414 1.0194 0.8695 NaN NaN 0.6748 NaN NaN NaN NaN NaN NaN 0.5009 NaN NaN 0.4397 NaN NaN 0.3798 0.3408 0.9379 0.10144500000000001 0.0918999565422918 0.07090224745900893 0.04996843705348404 0.037486 0.02669543851691271 0.017124
"2021-07-30 03:39:17" Dalanzadgad 211 211.15228 0.017668 0.032593000000000004 0.036735000000000004 NaN NaN 0.048313 NaN NaN NaN NaN NaN NaN 0.080144 NaN NaN 0.097151 NaN NaN 0.11761600000000001 0.142123 1.393561 0.003228 0.0028239999999999997 0.002543 NaN NaN 0.001865 NaN NaN NaN NaN NaN NaN 0.0009310000000000001 NaN NaN 0.000789 NaN NaN 0.000917 0.001661 0.004178 1.459078 1.384358 1.6425619999999999 1.422717 1.482357 NaN lev15 885 Dalanzadgad 43.577222 104.419167 1470.0 31.369740999999998 1.170444 26.3 303.669882 0.175601 30:07:2021 9 1.6414 1.0194 0.8695 NaN NaN 0.6748 NaN NaN NaN NaN NaN NaN 0.5009 NaN NaN 0.4397 NaN NaN 0.3798 0.3408 0.9379 0.097151 0.0882168938386223 0.06851871884365392 0.04886662481009132 0.036735000000000004 0.026918940752552478 0.017667999999999996
